class_name,sentence
Operability,The system shall operate within the Windows XP Professional operating system.
Operability,The system shall interface with CampusConnect's central server
Operability,The system shall interface with the faculty central server.
Operability,The system shall interface with the student master server.
Operability,We must be able to interface with any HTML browser.
Operability,The WCS shall be accessed by users through the Internet on an IBM computer running a Windows 2000 or above operating system.
Operability,The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database
Operability,The Disputes application shall interface with the Cardmember Information Database.  The Cardmember Information Database provides detailed information with regard to a cardmember.  All cardmember detail information must be obtained from the Cardmember Information Database.
Operability,The Disputes applications shall interface with the Merchant Information Database.  The Merchant Information Database provides detailed information with regard to the merchant. All merchant detail information shall be obtained from the Merchant Information Database.
Operability,The Disputes application shall interface with the Letters application.  This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.
Operability,The Disputes application shall interface with the Cardmember Posting and Billing System.  This will allow the Disputes application to request adjustments to cardmember and merchant's accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.
Operability,The product must support Internet Explorer 5.5 and above.'
Operability,The product must support Mozilla Firefox 1.0 and above.
Maintainability,Maintenance releases will be offered to customers once a year.  The releases shall take no longer than 5 minutes for 80% of the customer base to install.
Maintainability,The product shall be expected to operate within the maximum maintenance budget for a minimum of 2 years.
Maintainability,All new code shall be documented using the Javadoc documentation system.
Maintainability,Washing parameters will be updated during scheduled maintenance hours.
Maintainability,The Proposer shall test application enhancements  fixes  and upgrades and assure the integrity of the resulting data.
Maintainability,The system shall provide an automated test script to validate the data after modifications or upgrades
Maintainability,Test environments should be built for the application to allow testing of the applications different functions.
Maintainability,The implementation must use the Strategy pattern for epidemic detection and cause-of-death trends and the Singleton pattern for database connections.
Maintainability,The implementation shall adhere to the Java Coding Standards.
Maintainability,The implementation shall run on the Windows platform in the Eclipse 3.3 environment.Maintainability "(2) A health plan may not delay or reject a transaction  or attempt to adversely affect the other entity or the transaction  because the transaction is a standard transaction."
Maintainability,The PHP code will comply with PEAR standards.
Maintainability,The product must be designed using Design Patterns and coding best practices.
Maintainability,The product must be developed with the J2SE or J2EE programming language libraries
Maintainability,The system shall provide an automated test script to validate the data after modifications or upgradesAvailability The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.
Maintainability,The system shall provide the ability to perform real-time updates.
Security,The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts.
Security,Only registered realtors shall be able to access the system.
Security,Every user of the system shall be authenticated and authorized.
Security,The product shall prevent its data from incorrect data being introduced
Security,Only authorized users shall have access to clinical site information.
Security,Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.
Security,Only authorized users shall have access to students' personal information.
Security,Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students' personal information.
Security,Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.
Security,Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.
Security,The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.
Security,The system shall protect private information in accordance with the organization's information policy.
Security,The system shall be built such that it is as secure as possible from malicious interference.
Security,The system shall use the organization's standard virus protection software to help monitor threats to itself.
Security,The Disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests.
